geo_neighborhood,building_type,owner_class,class_parcels,class_units,parcels,units,parcel_share,unit_share,suppressed
BK1602,sfr_1_4,corp,42,103,3051,5813,0.01376597836774828,0.017718905900567693,false
BX0601,large_mf,unknown,13,919,73,4020,0.1780821917808219,0.22860696517412935,false
QN0301,large_mf,unknown,18,1376,136,7942,0.1323529411764706,0.17325610677411232,false
MN0401,condo_unit,corp,3,86,62,1585,0.04838709677419355,0.05425867507886435,false
MN1001,large_mf,hdfc,24,1087,138,5558,0.17391304347826086,0.19557394746311624,false
SI0104,mixed_use_res,trust,8,13,163,393,0.049079754601226995,0.03307888040712468,false
BK0202,sfr_1_4,llc,122,324,788,1675,0.1548223350253807,0.19343283582089552,false
BX0903,large_mf,hdfc,3,138,30,2471,0.1,0.05584783488466208,false
BK0401,small_mf,partnership,18,113,1548,10157,0.011627906976744186,0.011125332283154475,false
MN1102,coop_building,hdfc,22,534,40,2034,0.55,0.26253687315634217,false
BK1701,small_mf,partnership,1,10,311,2757,0.003215434083601286,0.003627130939426913,false
QN0901,other_res,corp,1,2,6,12,0.16666666666666666,0.16666666666666666,false
QN0702,small_mf,individual,7,36,15,83,0.4666666666666667,0.43373493975903615,false
MN0402,mixed_use_res,corp,92,4242,494,23228,0.1862348178137652,0.18262441880489064,false
MN0203,sfr_1_4,coop_corp,1,2,603,1087,0.001658374792703151,0.0018399264029438822,false
SI0304,condo_unit,llc,1,0,5,10,0.2,0.0,false
MN1202,large_mf,individual,18,680,316,13645,0.056962025316455694,0.04983510443385856,false
BK0102,mixed_use_res,individual,268,4559,992,14214,0.2701612903225806,0.3207401153792036,false
MN0701,mixed_use_res,llc,97,7352,220,24731,0.4409090909090909,0.29727871901661884,false
MN0903,mixed_use_res,corp,22,610,187,4431,0.11764705882352941,0.13766644098397654,false
BK0801,small_mf,individual,34,252,205,1856,0.16585365853658537,0.13577586206896552,false
BX0801,small_mf,hdfc,2,18,58,591,0.034482758620689655,0.030456852791878174,false
BK1502,mixed_use_res,unknown,12,160,325,1674,0.036923076923076927,0.0955794504181601,false
BK0401,small_mf,individual,269,1650,1548,10157,0.17377260981912146,0.16244954218765384,false
BK0302,condo_unit,individual,51,521,136,1114,0.375,0.46768402154398564,false
QN0902,small_mf,corp,12,103,57,422,0.21052631578947367,0.24407582938388625,false
MN0402,sfr_1_4,trust,6,15,51,131,0.11764705882352941,0.11450381679389313,false
QN1206,mixed_use_res,lender_reo,1,2,203,386,0.0049261083743842365,0.0051813471502590676,false
QN0805,other_res,corp,2,5,4,8,,,true
BX0603,sfr_1_4,partnership,4,12,658,1597,0.0060790273556231,0.007514088916718848,false
BX1001,mixed_use_res,unknown,7,151,109,1212,0.06422018348623854,0.12458745874587458,false
BK0902,condo_unit,individual,25,296,57,600,0.43859649122807015,0.49333333333333335,false
MN1203,mixed_use_res,unknown,14,775,92,5883,0.15217391304347827,0.13173550909399967,false
MN1001,coop_building,hdfc,31,895,71,2129,0.43661971830985913,0.42038515735086895,false
SI0303,other_res,individual,4,1,5,5,,,true
BK1703,sfr_1_4,individual,4069,7462,4821,9008,0.8440157643642398,0.8283747779751333,false
BK0104,mixed_use_res,trust,23,63,805,6332,0.02857142857142857,0.009949463044851548,false
BX0802,sfr_1_4,llc,41,87,538,926,0.0762081784386617,0.0939524838012959,false
BX0702,large_mf,unknown,28,1171,310,14209,0.09032258064516129,0.08241255542261947,false
BK0901,condo_unit,unknown,6,131,23,546,0.2608695652173913,0.23992673992673993,false
QN0901,sfr_1_4,coop_corp,1,2,1303,2065,0.0007674597083653108,0.0009685230024213075,false
BK0401,small_mf,hdfc,49,338,1548,10157,0.03165374677002584,0.033277542581470906,false
MN0803,mixed_use_res,corp,65,1701,441,20090,0.1473922902494331,0.08466898954703833,false
QN0707,small_mf,corp,17,166,84,702,0.20238095238095238,0.23646723646723647,false
BK0701,mixed_use_res,partnership,2,84,214,1684,0.009345794392523364,0.0498812351543943,false
QN1206,sfr_1_4,trust,215,284,3701,5046,0.058092407457443936,0.056282203725723345,false
BX1202,sfr_1_4,lender_reo,15,33,6181,10976,0.0024267917812651673,0.0030065597667638484,false
BX1104,sfr_1_4,trust,39,78,1171,2506,0.033304867634500426,0.03112529928172386,false
QN1201,large_mf,unknown,7,540,103,8070,0.06796116504854369,0.06691449814126393,false
QN0105,mixed_use_res,unknown,4,16,233,7658,0.017167381974248927,0.0020893183598850876,false
BX0703,other_res,corp,1,1,6,15,0.16666666666666666,0.06666666666666667,false
QN1201,small_mf,corp,21,176,86,802,0.2441860465116279,0.2194513715710723,false
MN0402,small_mf,hdfc,4,42,195,2085,0.020512820512820513,0.02014388489208633,false
MN0302,other_res,unknown,1,2,6,12,0.16666666666666666,0.16666666666666666,false
SI0204,sfr_1_4,llc,186,328,7889,11068,0.023577132716440612,0.02963498373689917,false
