year,geo_borough,sales,units,entity_sales,entity_units,sale_share,unit_share
2015,Bloom,1013,1135,30,30,0.029615004935834157,0.02643171806167401
2015,Bremen,1480,1680,29,29,0.019594594594594596,0.017261904761904763
2015,Calumet,148,218,4,5,0.02702702702702703,0.022935779816513763
2015,Cicero,579,914,10,27,0.017271157167530225,0.02954048140043764
2015,Elk Grove,1071,1108,3,3,0.0028011204481792717,0.002707581227436823
2015,Evanston,1058,1240,9,13,0.008506616257088847,0.010483870967741936
2015,Hanover,1363,1496,11,11,0.008070432868672046,0.007352941176470588
2015,Hyde Park,3035,5313,97,226,0.031960461285008235,0.042537172971955584
2015,Jefferson,6272,8946,72,119,0.011479591836734694,0.013302034428794992
2015,Lake,5121,7223,130,234,0.025385666861941027,0.03239651114495362
2015,Lake View,5585,6779,38,66,0.0068039391226499555,0.009735949255052367
2015,Lemont,342,406,2,2,0.005847953216374269,0.0049261083743842365
2015,Leyden,1003,1271,11,13,0.010967098703888335,0.010228166797797011
2015,Lyons,1433,1691,7,7,0.004884856943475227,0.004139562389118865
2015,Maine,1927,2171,11,22,0.005708354955889984,0.010133578995854445
2015,New Trier,998,1038,13,16,0.013026052104208416,0.015414258188824663
2015,Niles,1523,1785,12,12,0.007879185817465528,0.0067226890756302525
2015,North Chicago,3533,4042,16,16,0.004528729125389187,0.0039584364176150424
2015,Northfield,1444,1535,11,11,0.007617728531855956,0.0071661237785016286
2015,Norwood Park,296,316,2,2,0.006756756756756757,0.006329113924050633
2015,Oak Park,777,917,6,12,0.007722007722007722,0.013086150490730643
2015,Orland,1477,1525,7,7,0.004739336492890996,0.0045901639344262295
2015,Palatine,1636,2078,11,16,0.006723716381418093,0.007699711260827719
2015,Palos,739,851,4,9,0.005412719891745603,0.010575793184488837
2015,Proviso,1875,2266,35,53,0.018666666666666668,0.023389232127096204
2015,Rich,1053,1077,28,28,0.026590693257359924,0.025998142989786442
2015,River Forest,195,218,2,2,0.010256410256410256,0.009174311926605505
2015,Riverside,231,278,3,5,0.012987012987012988,0.017985611510791366
2015,Rogers Park,912,1237,11,36,0.01206140350877193,0.02910266774454325
2015,Schaumburg,1847,1934,12,12,0.006497022198159177,0.0062047569803516025
2015,South Chicago,2224,2824,16,24,0.007194244604316547,0.0084985835694051
2015,Stickney,452,522,4,4,0.008849557522123894,0.007662835249042145
2015,Thornton,1813,2188,45,52,0.024820739106453393,0.02376599634369287
2015,West Chicago,5486,9313,55,141,0.01002551950419249,0.015140126704606464
2015,Wheeling,2426,2534,11,12,0.004534212695795548,0.004735595895816891
2015,Worth,2058,2432,23,29,0.011175898931000973,0.011924342105263159
2016,Barrington,309,313,15,17,0.04854368932038835,0.054313099041533544
2016,Berwyn,758,1041,101,166,0.13324538258575197,0.15946205571565802
2016,Bloom,1147,1237,172,189,0.14995640802092414,0.15278900565885206
2016,Bremen,1629,1759,225,271,0.13812154696132597,0.15406480955088117
2016,Calumet,188,266,12,26,0.06382978723404255,0.09774436090225563
2016,Cicero,626,1012,65,145,0.10383386581469649,0.1432806324110672
2016,Elk Grove,1210,1287,59,117,0.048760330578512395,0.09090909090909091
2016,Evanston,1102,1292,67,148,0.060798548094373864,0.11455108359133127
2016,Hanover,1623,1663,88,105,0.054220579174368455,0.06313890559230306
2016,Hyde Park,3629,6009,980,2283,0.2700468448608432,0.37993010484273587
2016,Jefferson,6964,9517,804,1662,0.1154508902929351,0.1746348639277083
2016,Lake,5974,8334,1087,1867,0.18195513893538667,0.2240220782337413
2016,Lake View,5866,7109,492,1244,0.08387316740538697,0.17498944999296667
2016,Lemont,320,328,12,13,0.0375,0.039634146341463415
2016,Leyden,1177,1464,96,182,0.08156329651656755,0.12431693989071038
2016,Lyons,1587,1818,112,153,0.07057340894770006,0.08415841584158416
2016,Maine,2128,2310,113,195,0.0531015037593985,0.08441558441558442
2016,New Trier,1058,1102,89,110,0.08412098298676748,0.0998185117967332
2016,Niles,1564,1793,64,83,0.04092071611253197,0.046291132180702736
2016,North Chicago,3367,3574,222,313,0.06593406593406594,0.08757694459988809
2016,Northfield,1469,1509,89,107,0.0605854322668482,0.07090788601722996
2016,Norwood Park,402,459,23,49,0.05721393034825871,0.10675381263616558
2016,Oak Park,954,1070,75,141,0.07861635220125786,0.13177570093457944
2016,Orland,1705,1742,66,80,0.03870967741935484,0.045924225028702644
2016,Palatine,1879,2023,107,212,0.05694518360830229,0.10479485912011864
2016,Palos,803,835,30,41,0.037359900373599,0.04910179640718563
2016,Proviso,2100,2517,190,263,0.09047619047619047,0.10448947159316647
2016,Rich,1283,1308,235,242,0.18316445830085737,0.18501529051987767
2016,River Forest,205,225,13,20,0.06341463414634146,0.08888888888888889
2016,Riverside,242,257,19,19,0.07851239669421488,0.07392996108949416
2016,Rogers Park,996,1420,101,338,0.10140562248995984,0.2380281690140845
2016,Schaumburg,2097,2130,99,114,0.04721030042918455,0.05352112676056338
2016,South Chicago,2302,2750,114,259,0.04952215464813206,0.09418181818181819
2016,Stickney,511,591,34,45,0.06653620352250489,0.07614213197969544
2016,Thornton,2189,2542,465,570,0.21242576518958428,0.22423288749016523
2016,West Chicago,5866,9225,800,2309,0.13637913399249915,0.25029810298102984
2016,Wheeling,2543,3219,134,192,0.0526936688950059,0.05964585274930102
2016,Worth,2351,2727,196,296,0.08336877924287538,0.10854418775210854
2017,Barrington,334,352,17,29,0.05089820359281437,0.08238636363636363
2017,Berwyn,747,1073,92,181,0.12315930388219545,0.16868592730661697
2017,Bloom,1314,1477,196,275,0.1491628614916286,0.18618821936357483
2017,Bremen,1841,2089,208,307,0.11298207495926127,0.1469602680708473
